Vertex Number,Destrieux,DK Atlas,DKT Atlas
0,36,31,31
1,5,32,28
2,26,31,31
3,74,8,8
4,16,28,28
5,55,27,28
6,-1,10,10
7,22,13,13
8,28,22,22
9,46,24,24
10,47,17,17
11,27,29,29
12,26,31,31
13,20,29,29
14,6,26,26
15,1,27,27
16,60,11,15
17,34,30,30
18,15,3,3
19,73,9,15
20,59,29,29
21,3,22,22
22,65,12,12
23,11,29,5
24,55,28,28
25,53,18,20
26,23,6,6
27,68,31,31
28,2,11,11
29,37,9,9
30,71,14,14
31,7,2,2
32,38,15,15
33,24,19,27
34,23,16,16
35,50,20,20
36,9,10,10
37,47,25,23
38,28,22,22
39,46,24,24
40,45,13,13
41,16,28,28
42,59,11,11
43,21,7,7
44,34,30,30
45,16,28,28
46,22,13,13
47,66,25,25
48,1,27,27
49,55,27,27
50,1,27,28
51,30,25,25
52,34,30,30
53,22,13,13
54,30,25,25
55,57,29,29
56,74,30,30
57,53,27,20
58,47,25,25
59,74,8,8
60,62,7,7
61,68,22,22
62,19,8,8
63,3,17,17
64,68,31,31
65,32,-1,14
66,43,11,11
67,53,27,27
68,74,8,8
69,43,11,11
70,8,28,2
71,50,35,35
72,54,27,28
73,28,22,22
74,21,7,7
75,11,5,5
76,33,34,34
77,16,28,28
78,38,15,15
79,4,22,22
80,59,8,8
81,34,30,30
82,21,7,7
83,14,20,20
84,15,27,28
85,27,29,29
86,12,18,18
87,74,1,15
88,16,28,28
89,65,12,12
90,67,10,10
91,8,23,23
92,45,25,25
93,44,15,15
94,24,14,14
95,73,9,9
96,29,24,24
97,22,13,13
98,4,22,22
99,35,30,30
100,53,27,27
101,43,11,11
102,16,28,28
103,53,27,27
104,15,3,3
105,5,27,28
106,7,28,2
107,34,30,30
108,21,7,7
109,38,15,15
110,44,33,30
111,66,25,5
112,14,20,20
113,2,11,11
114,37,9,9
115,43,11,11
116,6,14,28
117,33,30,30
118,20,29,11
119,55,28,28
120,73,9,15
121,38,15,15
122,66,25,25
123,25,8,8
